O*NET-SOC Code,Element ID,Element Name,Data Value,Standard Error,Lower CI Bound,Upper CI Bound,Not Relevant,Date
21-1011,2.A.2.c,Learning Strategies,3.38,0.18,3.02,3.73,n/a,07/2014
21-1011,2.A.2.d,Monitoring,3.75,0.16,3.43,4.07,n/a,07/2014
21-1011,2.B.1.a,Social Perceptiveness,4.12,0.13,3.88,4.37,n/a,07/2014
21-1011,2.B.1.b,Coordination,3.25,0.16,2.93,3.57,n/a,07/2014
21-1011,2.B.1.c,Persuasion,3.5,0.19,3.13,3.87,n/a,07/2014
21-1011,2.B.1.d,Negotiation,3.0,0.00,3.00,3.00,n/a,07/2014
21-1011,2.B.1.e,Instructing,3.25,0.16,2.93,3.57,n/a,07/2014
21-1011,2.B.1.f,Service Orientation,3.88,0.13,3.63,4.12,n/a,07/2014
21-1011,2.B.2.i,Complex Problem Solving,3.38,0.18,3.02,3.73,n/a,07/2014
21-1011,2.B.3.a,Operations Analysis,2.0,0.27,1.48,2.52,n/a,07/2014
21-1011,2.B.3.b,Technology Design,1.62,0.18,1.27,1.98,n/a,07/2014
21-1011,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2014
21-1011,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2014
21-1011,2.B.3.e,Programming,1.5,0.19,1.13,1.87,n/a,07/2014
21-1011,2.B.3.g,Operation Monitoring,1.75,0.16,1.43,2.07,n/a,07/2014
21-1011,2.B.3.h,Operation and Control,1.12,0.13,1.00,1.37,n/a,07/2014
21-1011,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2014
21-1011,2.B.3.k,Troubleshooting,1.25,0.16,1.00,1.57,n/a,07/2014
21-1011,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2014
21-1011,2.B.3.m,Quality Control Analysis,1.62,0.18,1.27,1.98,n/a,07/2014
21-1011,2.B.4.e,Judgment and Decision Making,3.75,0.16,3.43,4.07,n/a,07/2014
21-1011,2.B.4.g,Systems Analysis,3.12,0.13,2.88,3.37,n/a,07/2014
21-1011,2.B.4.h,Systems Evaluation,3.12,0.13,2.88,3.37,n/a,07/2014
21-1011,2.B.5.a,Time Management,3.0,0.00,3.00,3.00,n/a,07/2014
21-1011,2.B.5.b,Management of Financial Resources,1.75,0.16,1.43,2.07,n/a,07/2014
21-1011,2.B.5.c,Management of Material Resources,1.75,0.16,1.43,2.07,n/a,07/2014
21-1011,2.B.5.d,Management of Personnel Resources,3.0,0.00,3.00,3.00,n/a,07/2014
21-1012,2.A.1.a,Reading Comprehension,4.25,0.16,3.93,4.57,n/a,06/2010
21-1012,2.A.1.b,Active Listening,4.38,0.18,4.02,4.73,n/a,06/2010
21-1012,2.A.1.c,Writing,4.0,0.19,3.63,4.37,n/a,06/2010
21-1012,2.A.1.d,Speaking,4.38,0.18,4.02,4.73,n/a,06/2010
21-1012,2.A.1.e,Mathematics,2.25,0.31,1.64,2.86,n/a,06/2010
21-1012,2.A.1.f,Science,1.5,0.33,1.00,2.14,n/a,06/2010
21-1012,2.A.2.a,Critical Thinking,4.0,0.19,3.63,4.37,n/a,06/2010
21-1012,2.A.2.b,Active Learning,3.75,0.16,3.43,4.07,n/a,06/2010
21-1012,2.A.2.c,Learning Strategies,3.62,0.18,3.27,3.98,n/a,06/2010
21-1012,2.A.2.d,Monitoring,3.5,0.19,3.13,3.87,n/a,06/2010
21-1012,2.B.1.a,Social Perceptiveness,4.25,0.25,3.76,4.74,n/a,06/2010
21-1012,2.B.1.b,Coordination,3.5,0.19,3.13,3.87,n/a,06/2010
21-1012,2.B.1.c,Persuasion,3.5,0.27,2.98,4.02,n/a,06/2010
21-1012,2.B.1.d,Negotiation,3.62,0.18,3.27,3.98,n/a,06/2010
21-1012,2.B.1.e,Instructing,3.62,0.18,3.27,3.98,n/a,06/2010
21-1012,2.B.1.f,Service Orientation,3.75,0.25,3.26,4.24,n/a,06/2010
21-1012,2.B.2.i,Complex Problem Solving,3.75,0.25,3.26,4.24,n/a,06/2010
21-1012,2.B.3.a,Operations Analysis,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.b,Technology Design,1.75,0.37,1.03,2.47,n/a,06/2010
21-1012,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.e,Programming,1.62,0.38,1.00,2.36,n/a,06/2010
21-1012,2.B.3.g,Operation Monitoring,1.88,0.30,1.30,2.45,n/a,06/2010
21-1012,2.B.3.h,Operation and Control,1.25,0.25,1.00,1.74,n/a,06/2010
21-1012,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,06/2010
21-1012,2.B.3.m,Quality Control Analysis,1.12,0.13,1.00,1.37,n/a,06/2010
21-1012,2.B.4.e,Judgment and Decision Making,3.88,0.23,3.43,4.32,n/a,06/2010
21-1012,2.B.4.g,Systems Analysis,3.38,0.32,2.74,4.01,n/a,06/2010
21-1012,2.B.4.h,Systems Evaluation,3.12,0.30,2.55,3.70,n/a,06/2010
21-1012,2.B.5.a,Time Management,3.62,0.18,3.27,3.98,n/a,06/2010
21-1012,2.B.5.b,Management of Financial Resources,1.25,0.16,1.00,1.57,n/a,06/2010
21-1012,2.B.5.c,Management of Material Resources,1.25,0.16,1.00,1.57,n/a,06/2010
21-1012,2.B.5.d,Management of Personnel Resources,3.25,0.16,2.93,3.57,n/a,06/2010
21-1013,2.A.1.a,Reading Comprehension,4.0,0.00,4.00,4.00,n/a,07/2012
21-1013,2.A.1.b,Active Listening,4.75,0.16,4.43,5.00,n/a,07/2012
21-1013,2.A.1.c,Writing,4.0,0.00,4.00,4.00,n/a,07/2012
21-1013,2.A.1.d,Speaking,4.12,0.13,3.88,4.37,n/a,07/2012
21-1013,2.A.1.e,Mathematics,2.12,0.13,1.88,2.37,n/a,07/2012
21-1013,2.A.1.f,Science,2.88,0.13,2.63,3.12,n/a,07/2012
21-1013,2.A.2.a,Critical Thinking,4.0,0.00,4.00,4.00,n/a,07/2012
21-1013,2.A.2.b,Active Learning,3.75,0.16,3.43,4.07,n/a,07/2012
21-1013,2.A.2.c,Learning Strategies,3.0,0.00,3.00,3.00,n/a,07/2012
21-1013,2.A.2.d,Monitoring,3.88,0.13,3.63,4.12,n/a,07/2012
21-1013,2.B.1.a,Social Perceptiveness,4.25,0.25,3.76,4.74,n/a,07/2012
21-1013,2.B.1.b,Coordination,3.5,0.19,3.13,3.87,n/a,07/2012
21-1013,2.B.1.c,Persuasion,3.88,0.13,3.63,4.12,n/a,07/2012
21-1013,2.B.1.d,Negotiation,3.75,0.16,3.43,4.07,n/a,07/2012
21-1013,2.B.1.e,Instructing,3.62,0.18,3.27,3.98,n/a,07/2012
21-1013,2.B.1.f,Service Orientation,4.12,0.13,3.88,4.37,n/a,07/2012
21-1013,2.B.2.i,Complex Problem Solving,4.0,0.00,4.00,4.00,n/a,07/2012
21-1013,2.B.3.a,Operations Analysis,3.12,0.23,2.68,3.57,n/a,07/2012
21-1013,2.B.3.b,Technology Design,1.5,0.19,1.13,1.87,n/a,07/2012
21-1013,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.e,Programming,1.38,0.18,1.02,1.73,n/a,07/2012
21-1013,2.B.3.g,Operation Monitoring,1.75,0.16,1.43,2.07,n/a,07/2012
21-1013,2.B.3.h,Operation and Control,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2012
21-1013,2.B.3.m,Quality Control Analysis,1.5,0.19,1.13,1.87,n/a,07/2012
21-1013,2.B.4.e,Judgment and Decision Making,4.12,0.13,3.88,4.37,n/a,07/2012
21-1013,2.B.4.g,Systems Analysis,3.12,0.13,2.88,3.37,n/a,07/2012
21-1013,2.B.4.h,Systems Evaluation,3.38,0.18,3.02,3.73,n/a,07/2012
21-1013,2.B.5.a,Time Management,3.12,0.23,2.68,3.57,n/a,07/2012
21-1013,2.B.5.b,Management of Financial Resources,1.5,0.19,1.13,1.87,n/a,07/2012
21-1013,2.B.5.c,Management of Material Resources,1.38,0.18,1.02,1.73,n/a,07/2012
21-1013,2.B.5.d,Management of Personnel Resources,3.0,0.00,3.00,3.00,n/a,07/2012
21-1014,2.A.1.a,Reading Comprehension,3.75,0.25,3.26,4.24,n/a,07/2013
21-1014,2.A.1.b,Active Listening,4.88,0.13,4.63,5.00,n/a,07/2013
21-1014,2.A.1.c,Writing,3.88,0.23,3.43,4.32,n/a,07/2013
21-1014,2.A.1.d,Speaking,4.12,0.13,3.88,4.37,n/a,07/2013
21-1014,2.A.1.e,Mathematics,2.12,0.13,1.88,2.37,n/a,07/2013
21-1014,2.A.1.f,Science,3.12,0.13,2.88,3.37,n/a,07/2013
21-1014,2.A.2.a,Critical Thinking,3.88,0.13,3.63,4.12,n/a,07/2013
21-1014,2.A.2.b,Active Learning,3.5,0.19,3.13,3.87,n/a,07/2013
21-1014,2.A.2.c,Learning Strategies,3.5,0.19,3.13,3.87,n/a,07/2013
21-1014,2.A.2.d,Monitoring,3.88,0.13,3.63,4.12,n/a,07/2013
21-1014,2.B.1.a,Social Perceptiveness,4.75,0.16,4.43,5.00,n/a,07/2013
21-1014,2.B.1.b,Coordination,3.38,0.18,3.02,3.73,n/a,07/2013
21-1014,2.B.1.c,Persuasion,3.62,0.18,3.27,3.98,n/a,07/2013
21-1014,2.B.1.d,Negotiation,3.25,0.16,2.93,3.57,n/a,07/2013
21-1014,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2013
21-1014,2.B.1.f,Service Orientation,4.12,0.13,3.88,4.37,n/a,07/2013
21-1014,2.B.2.i,Complex Problem Solving,3.38,0.18,3.02,3.73,n/a,07/2013
21-1014,2.B.3.a,Operations Analysis,3.0,0.19,2.63,3.37,n/a,07/2013
21-1014,2.B.3.b,Technology Design,1.62,0.18,1.27,1.98,n/a,07/2013
21-1014,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.e,Programming,1.5,0.19,1.13,1.87,n/a,07/2013
21-1014,2.B.3.g,Operation Monitoring,1.75,0.16,1.43,2.07,n/a,07/2013
21-1014,2.B.3.h,Operation and Control,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2013
21-1014,2.B.3.m,Quality Control Analysis,2.0,0.19,1.63,2.37,n/a,07/2013
21-1014,2.B.4.e,Judgment and Decision Making,3.88,0.13,3.63,4.12,n/a,07/2013
21-1014,2.B.4.g,Systems Analysis,3.12,0.13,2.88,3.37,n/a,07/2013
21-1014,2.B.4.h,Systems Evaluation,3.25,0.16,2.93,3.57,n/a,07/2013
21-1014,2.B.5.a,Time Management,3.0,0.00,3.00,3.00,n/a,07/2013
21-1014,2.B.5.b,Management of Financial Resources,1.62,0.18,1.27,1.98,n/a,07/2013
21-1014,2.B.5.c,Management of Material Resources,1.62,0.18,1.27,1.98,n/a,07/2013
21-1014,2.B.5.d,Management of Personnel Resources,3.0,0.00,3.00,3.00,n/a,07/2013
21-1015,2.A.1.a,Reading Comprehension,3.5,0.19,3.13,3.87,n/a,07/2012
21-1015,2.A.1.b,Active Listening,4.12,0.13,3.88,4.37,n/a,07/2012
21-1015,2.A.1.c,Writing,3.62,0.26,3.11,4.14,n/a,07/2012
21-1015,2.A.1.d,Speaking,3.88,0.13,3.63,4.12,n/a,07/2012
21-1015,2.A.1.e,Mathematics,2.12,0.13,1.88,2.37,n/a,07/2012
21-1015,2.A.1.f,Science,2.5,0.27,1.98,3.02,n/a,07/2012
21-1015,2.A.2.a,Critical Thinking,3.75,0.16,3.43,4.07,n/a,07/2012
21-1015,2.A.2.b,Active Learning,3.0,0.00,3.00,3.00,n/a,07/2012
21-1015,2.A.2.c,Learning Strategies,3.0,0.00,3.00,3.00,n/a,07/2012
21-1015,2.A.2.d,Monitoring,3.88,0.13,3.63,4.12,n/a,07/2012
21-1015,2.B.1.a,Social Perceptiveness,4.0,0.00,4.00,4.00,n/a,07/2012
21-1015,2.B.1.b,Coordination,3.62,0.18,3.27,3.98,n/a,07/2012
21-1015,2.B.1.c,Persuasion,3.25,0.16,2.93,3.57,n/a,07/2012
21-1015,2.B.1.d,Negotiation,3.38,0.18,3.02,3.73,n/a,07/2012
21-1015,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2012
21-1015,2.B.1.f,Service Orientation,3.62,0.26,3.11,4.14,n/a,07/2012
21-1015,2.B.2.i,Complex Problem Solving,3.25,0.16,2.93,3.57,n/a,07/2012
21-1015,2.B.3.a,Operations Analysis,3.12,0.23,2.68,3.57,n/a,07/2012
21-1015,2.B.3.b,Technology Design,1.62,0.18,1.27,1.98,n/a,07/2012
21-1015,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.e,Programming,1.75,0.16,1.43,2.07,n/a,07/2012
21-1015,2.B.3.g,Operation Monitoring,1.88,0.13,1.63,2.12,n/a,07/2012
21-1015,2.B.3.h,Operation and Control,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2012
21-1015,2.B.3.m,Quality Control Analysis,1.12,0.13,1.00,1.37,n/a,07/2012
21-1015,2.B.4.e,Judgment and Decision Making,3.38,0.18,3.02,3.73,n/a,07/2012
21-1015,2.B.4.g,Systems Analysis,3.38,0.18,3.02,3.73,n/a,07/2012
21-1015,2.B.4.h,Systems Evaluation,3.12,0.13,2.88,3.37,n/a,07/2012
21-1015,2.B.5.a,Time Management,3.5,0.19,3.13,3.87,n/a,07/2012
21-1015,2.B.5.b,Management of Financial Resources,1.5,0.27,1.00,2.02,n/a,07/2012
21-1015,2.B.5.c,Management of Material Resources,1.25,0.16,1.00,1.57,n/a,07/2012
21-1015,2.B.5.d,Management of Personnel Resources,2.88,0.13,2.63,3.12,n/a,07/2012
21-1021,2.A.1.a,Reading Comprehension,4.25,0.16,3.93,4.57,n/a,06/2010
21-1021,2.A.1.b,Active Listening,4.62,0.18,4.27,4.98,n/a,06/2010
21-1021,2.A.1.c,Writing,3.88,0.13,3.63,4.12,n/a,06/2010
21-1021,2.A.1.d,Speaking,4.62,0.18,4.27,4.98,n/a,06/2010
21-1021,2.A.1.e,Mathematics,2.0,0.19,1.63,2.37,n/a,06/2010
21-1021,2.A.1.f,Science,3.0,0.27,2.48,3.52,n/a,06/2010
21-1021,2.A.2.a,Critical Thinking,4.0,0.00,4.00,4.00,n/a,06/2010
21-1021,2.A.2.b,Active Learning,3.38,0.18,3.02,3.73,n/a,06/2010
21-1021,2.A.2.c,Learning Strategies,3.12,0.13,2.88,3.37,n/a,06/2010
21-1021,2.A.2.d,Monitoring,4.0,0.00,4.00,4.00,n/a,06/2010
21-1021,2.B.1.a,Social Perceptiveness,4.12,0.13,3.88,4.37,n/a,06/2010
21-1021,2.B.1.b,Coordination,3.5,0.19,3.13,3.87,n/a,06/2010
21-1021,2.B.1.c,Persuasion,3.5,0.19,3.13,3.87,n/a,06/2010
21-1021,2.B.1.d,Negotiation,3.5,0.33,2.86,4.14,n/a,06/2010
21-1021,2.B.1.e,Instructing,3.25,0.16,2.93,3.57,n/a,06/2010
21-1021,2.B.1.f,Service Orientation,4.0,0.19,3.63,4.37,n/a,06/2010
21-1021,2.B.2.i,Complex Problem Solving,3.62,0.18,3.27,3.98,n/a,06/2010
21-1021,2.B.3.a,Operations Analysis,3.12,0.23,2.68,3.57,n/a,06/2010
21-1021,2.B.3.b,Technology Design,1.38,0.18,1.02,1.73,n/a,06/2010
21-1021,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,06/2010
21-1021,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,06/2010
21-1021,2.B.3.e,Programming,1.38,0.18,1.02,1.73,n/a,06/2010
21-1021,2.B.3.g,Operation Monitoring,2.0,0.33,1.36,2.64,n/a,06/2010
21-1021,2.B.3.h,Operation and Control,1.75,0.25,1.26,2.24,n/a,06/2010
21-1021,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,06/2010
21-1021,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,06/2010
21-1021,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,06/2010
21-1021,2.B.3.m,Quality Control Analysis,1.25,0.16,1.00,1.57,n/a,06/2010
21-1021,2.B.4.e,Judgment and Decision Making,3.62,0.18,3.27,3.98,n/a,06/2010
21-1021,2.B.4.g,Systems Analysis,3.0,0.19,2.63,3.37,n/a,06/2010
21-1021,2.B.4.h,Systems Evaluation,2.75,0.25,2.26,3.24,n/a,06/2010
21-1021,2.B.5.a,Time Management,3.62,0.18,3.27,3.98,n/a,06/2010
21-1021,2.B.5.b,Management of Financial Resources,1.75,0.25,1.26,2.24,n/a,06/2010
21-1021,2.B.5.c,Management of Material Resources,1.75,0.25,1.26,2.24,n/a,06/2010
21-1021,2.B.5.d,Management of Personnel Resources,3.25,0.16,2.93,3.57,n/a,06/2010
21-1022,2.A.1.a,Reading Comprehension,3.88,0.13,3.63,4.12,n/a,07/2014
21-1022,2.A.1.b,Active Listening,4.25,0.16,3.93,4.57,n/a,07/2014
21-1022,2.A.1.c,Writing,3.75,0.16,3.43,4.07,n/a,07/2014
21-1022,2.A.1.d,Speaking,4.12,0.13,3.88,4.37,n/a,07/2014
21-1022,2.A.1.e,Mathematics,2.0,0.00,2.00,2.00,n/a,07/2014
21-1022,2.A.1.f,Science,2.75,0.16,2.43,3.07,n/a,07/2014
21-1022,2.A.2.a,Critical Thinking,4.0,0.19,3.63,4.37,n/a,07/2014
21-1022,2.A.2.b,Active Learning,3.38,0.18,3.02,3.73,n/a,07/2014
21-1022,2.A.2.c,Learning Strategies,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.A.2.d,Monitoring,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.1.a,Social Perceptiveness,4.12,0.13,3.88,4.37,n/a,07/2014
21-1022,2.B.1.b,Coordination,3.88,0.23,3.43,4.32,n/a,07/2014
21-1022,2.B.1.c,Persuasion,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.1.d,Negotiation,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.1.f,Service Orientation,3.75,0.16,3.43,4.07,n/a,07/2014
21-1022,2.B.2.i,Complex Problem Solving,3.62,0.26,3.11,4.14,n/a,07/2014
21-1022,2.B.3.a,Operations Analysis,3.0,0.00,3.00,3.00,n/a,07/2014
21-1022,2.B.3.b,Technology Design,1.62,0.18,1.27,1.98,n/a,07/2014
21-1022,2.B.3.c,Equipment Selection,1.12,0.13,1.00,1.37,n/a,07/2014
21-1022,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2014
21-1022,2.B.3.e,Programming,1.62,0.18,1.27,1.98,n/a,07/2014
21-1022,2.B.3.g,Operation Monitoring,1.75,0.16,1.43,2.07,n/a,07/2014
21-1022,2.B.3.h,Operation and Control,1.75,0.16,1.43,2.07,n/a,07/2014
21-1022,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2014
21-1022,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2014
21-1022,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2014
21-1022,2.B.3.m,Quality Control Analysis,1.75,0.16,1.43,2.07,n/a,07/2014
21-1022,2.B.4.e,Judgment and Decision Making,3.5,0.19,3.13,3.87,n/a,07/2014
21-1022,2.B.4.g,Systems Analysis,2.5,0.27,1.98,3.02,n/a,07/2014
21-1022,2.B.4.h,Systems Evaluation,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.5.a,Time Management,3.12,0.13,2.88,3.37,n/a,07/2014
21-1022,2.B.5.b,Management of Financial Resources,1.62,0.18,1.27,1.98,n/a,07/2014
21-1022,2.B.5.c,Management of Material Resources,1.75,0.16,1.43,2.07,n/a,07/2014
21-1022,2.B.5.d,Management of Personnel Resources,3.0,0.00,3.00,3.00,n/a,07/2014
21-1023,2.A.1.a,Reading Comprehension,4.0,0.00,4.00,4.00,n/a,07/2013
21-1023,2.A.1.b,Active Listening,4.38,0.18,4.02,4.73,n/a,07/2013
21-1023,2.A.1.c,Writing,3.75,0.16,3.43,4.07,n/a,07/2013
21-1023,2.A.1.d,Speaking,4.25,0.16,3.93,4.57,n/a,07/2013
21-1023,2.A.1.e,Mathematics,2.0,0.00,2.00,2.00,n/a,07/2013
21-1023,2.A.1.f,Science,2.88,0.13,2.63,3.12,n/a,07/2013
21-1023,2.A.2.a,Critical Thinking,3.88,0.13,3.63,4.12,n/a,07/2013
21-1023,2.A.2.b,Active Learning,3.38,0.18,3.02,3.73,n/a,07/2013
21-1023,2.A.2.c,Learning Strategies,3.5,0.19,3.13,3.87,n/a,07/2013
21-1023,2.A.2.d,Monitoring,3.88,0.13,3.63,4.12,n/a,07/2013
21-1023,2.B.1.a,Social Perceptiveness,4.25,0.16,3.93,4.57,n/a,07/2013
21-1023,2.B.1.b,Coordination,3.88,0.13,3.63,4.12,n/a,07/2013
21-1023,2.B.1.c,Persuasion,3.5,0.27,2.98,4.02,n/a,07/2013
21-1023,2.B.1.d,Negotiation,3.25,0.16,2.93,3.57,n/a,07/2013
21-1023,2.B.1.e,Instructing,3.12,0.13,2.88,3.37,n/a,07/2013
21-1023,2.B.1.f,Service Orientation,3.88,0.13,3.63,4.12,n/a,07/2013
21-1023,2.B.2.i,Complex Problem Solving,3.5,0.19,3.13,3.87,n/a,07/2013
21-1023,2.B.3.a,Operations Analysis,2.88,0.13,2.63,3.12,n/a,07/2013
21-1023,2.B.3.b,Technology Design,1.5,0.19,1.13,1.87,n/a,07/2013
21-1023,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.e,Programming,1.75,0.16,1.43,2.07,n/a,07/2013
21-1023,2.B.3.g,Operation Monitoring,2.0,0.00,2.00,2.00,n/a,07/2013
21-1023,2.B.3.h,Operation and Control,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2013
21-1023,2.B.3.m,Quality Control Analysis,1.75,0.16,1.43,2.07,n/a,07/2013
21-1023,2.B.4.e,Judgment and Decision Making,3.38,0.18,3.02,3.73,n/a,07/2013
21-1023,2.B.4.g,Systems Analysis,3.12,0.13,2.88,3.37,n/a,07/2013
21-1023,2.B.4.h,Systems Evaluation,3.0,0.19,2.63,3.37,n/a,07/2013
21-1023,2.B.5.a,Time Management,3.25,0.16,2.93,3.57,n/a,07/2013
21-1023,2.B.5.b,Management of Financial Resources,1.5,0.19,1.13,1.87,n/a,07/2013
21-1023,2.B.5.c,Management of Material Resources,1.5,0.19,1.13,1.87,n/a,07/2013
21-1023,2.B.5.d,Management of Personnel Resources,3.0,0.00,3.00,3.00,n/a,07/2013
21-1091,2.A.1.a,Reading Comprehension,3.88,0.13,3.63,4.12,n/a,07/2012
21-1091,2.A.1.b,Active Listening,4.0,0.00,4.00,4.00,n/a,07/2012
21-1091,2.A.1.c,Writing,4.0,0.00,4.00,4.00,n/a,07/2012
21-1091,2.A.1.d,Speaking,4.12,0.13,3.88,4.37,n/a,07/2012
21-1091,2.A.1.e,Mathematics,2.0,0.00,2.00,2.00,n/a,07/2012
21-1091,2.A.1.f,Science,2.5,0.19,2.13,2.87,n/a,07/2012
21-1091,2.A.2.a,Critical Thinking,4.0,0.00,4.00,4.00,n/a,07/2012
21-1091,2.A.2.b,Active Learning,3.5,0.19,3.13,3.87,n/a,07/2012
21-1091,2.A.2.c,Learning Strategies,3.75,0.16,3.43,4.07,n/a,07/2012
21-1091,2.A.2.d,Monitoring,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.1.a,Social Perceptiveness,3.5,0.19,3.13,3.87,n/a,07/2012
21-1091,2.B.1.b,Coordination,3.5,0.19,3.13,3.87,n/a,07/2012
21-1091,2.B.1.c,Persuasion,3.25,0.16,2.93,3.57,n/a,07/2012
21-1091,2.B.1.d,Negotiation,2.88,0.13,2.63,3.12,n/a,07/2012
21-1091,2.B.1.e,Instructing,3.38,0.18,3.02,3.73,n/a,07/2012
21-1091,2.B.1.f,Service Orientation,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.2.i,Complex Problem Solving,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.3.a,Operations Analysis,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.3.b,Technology Design,1.5,0.19,1.13,1.87,n/a,07/2012
21-1091,2.B.3.c,Equipment Selection,1.0,0.00,1.00,1.00,n/a,07/2012
21-1091,2.B.3.d,Installation,1.0,0.00,1.00,1.00,n/a,07/2012
21-1091,2.B.3.e,Programming,1.25,0.16,1.00,1.57,n/a,07/2012
21-1091,2.B.3.g,Operation Monitoring,1.88,0.13,1.63,2.12,n/a,07/2012
21-1091,2.B.3.h,Operation and Control,1.38,0.18,1.02,1.73,n/a,07/2012
21-1091,2.B.3.j,Equipment Maintenance,1.0,0.00,1.00,1.00,n/a,07/2012
21-1091,2.B.3.k,Troubleshooting,1.0,0.00,1.00,1.00,n/a,07/2012
21-1091,2.B.3.l,Repairing,1.0,0.00,1.00,1.00,n/a,07/2012
21-1091,2.B.3.m,Quality Control Analysis,1.5,0.19,1.13,1.87,n/a,07/2012
21-1091,2.B.4.e,Judgment and Decision Making,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.4.g,Systems Analysis,3.12,0.13,2.88,3.37,n/a,07/2012
21-1091,2.B.4.h,Systems Evaluation,3.0,0.19,2.63,3.37,n/a,07/2012
21-1091,2.B.5.a,Time Management,3.5,0.19,3.13,3.87,n/a,07/2012
21-1091,2.B.5.b,Management of Financial Resources,2.0,0.00,2.00,2.00,n/a,07/2012
21-1091,2.B.5.c,Management of Material Resources,2.25,0.25,1.76,2.74,n/a,07/2012
21-1091,2.B.5.d,Management of Personnel Resources,3.25,0.16,2.93,3.57,n/a,07/2012
21-1092,2.A.1.a,Reading Comprehension,3.62,0.18,3.27,3.98,n/a,07/2011
